Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Median agein years,Life expectancyin years,GDP,Population under 20 years old in %
Turkey,93,5.132,1.127,1.197,0.781,0.254,0.086,0.121,,32.2,76.1,,30.9
China,94,5.124,0.991,1.132,0.867,0.602,0.079,0.117,,38.4,78.2,,23.2
Turkmenistan,95,5.119,1.009,1.51,0.612,0.515,0.323,0.034,,,,,
Bulgaria,96,5.102,1.047,1.461,0.778,0.418,0.104,0.0,,43.7,71.7,,18.6
Morocco,97,5.095,0.759,0.645,0.745,0.45,0.04,0.077,,29.1,74.1,,35.0
Cameroon,98,5.085,0.504,0.9,0.27,0.439,0.198,0.054,,18.5,60.4,,53.1
Venezuela,99,5.053,0.77,1.349,0.767,0.272,0.087,0.064,,30.0,70.8,,37.4
Algeria,100,5.005,0.944,1.143,0.745,0.084,0.119,0.129,,28.9,76.4,,37.8
Senegal,101,4.981,0.504,0.955,0.518,0.352,0.164,0.082,,19.4,67.1,,52.5
Guinea,102,4.949,0.39,0.751,0.334,0.372,0.249,0.112,,19.1,58.9,,52.7
Niger,103,4.91,0.108,0.704,0.299,0.435,0.208,0.138,,14.8,61.6,,59.7
Laos,104,4.889,0.715,0.987,0.486,0.612,0.273,0.194,,,,,
Albania,105,4.883,0.907,0.83,0.846,0.462,0.171,0.025,,34.3,76.6,,22.8
Cambodia,106,4.848,0.545,1.071,0.588,0.675,0.233,0.073,,26.4,69.6,,38.1
Bangladesh,107,4.833,0.556,0.869,0.695,0.604,0.177,0.177,,27.9,72.4,,36.3
Gabon,108,4.829,0.988,1.106,0.523,0.369,0.052,0.056,,,,,
South Africa,109,4.814,0.902,1.259,0.407,0.435,0.126,0.06,,28.0,62.3,,36.6
Iraq,110,4.785,0.982,1.011,0.529,0.284,0.153,0.073,,21.2,70.3,,48.4
Lebanon,111,4.772,0.889,1.192,0.789,0.186,0.159,0.022,,,,,
Burkina Faso,112,4.769,0.302,0.929,0.313,0.322,0.186,0.126,,17.9,59.2,,55.0
Gambia,113,4.751,0.257,0.883,0.353,0.403,0.426,0.158,,,,,
Mali,114,4.729,0.352,0.973,0.235,0.378,0.17,0.062,,16.0,59.0,,58.5
Nigeria,115,4.724,0.646,0.987,0.168,0.435,0.221,0.048,,18.6,52.7,,54.0
Armenia,116,4.677,0.808,1.035,0.776,0.378,0.107,0.105,,,,,
Georgia,117,4.673,0.847,0.731,0.695,0.485,0.048,0.174,,38.6,72.0,,26.7
Iran,118,4.672,1.029,0.886,0.749,0.301,0.277,0.143,,31.7,74.0,,30.3
Jordan,119,4.633,0.785,1.14,0.778,0.425,0.091,0.152,,,,,
Mozambique,120,4.624,0.179,0.955,0.324,0.561,0.22,0.163,,17.0,59.4,,54.6
Kenya,121,4.583,0.476,0.905,0.536,0.519,0.394,0.067,,20.0,61.5,,49.7
Namibia,122,4.571,0.84,1.246,0.407,0.445,0.076,0.054,,,,,
Ukraine,123,4.561,0.78,1.321,0.699,0.319,0.179,0.01,,41.2,70.1,,19.9
Liberia,124,4.558,0.174,0.921,0.392,0.406,0.227,0.051,,18.0,60.7,,52.2
Palestine,125,4.553,0.588,1.195,0.614,0.299,0.092,0.072,,,,,
